change_date,change_type,listing_id,category,listing_type,property_type,title,price_prev,price_curr,price_delta,price_delta_pct,currency,price_period,area_size,area_unit,beds_min,beds_max,baths_min,city,area,community,sub_community,compound,latitude,longitude,developer,project_name,agency_name,agent_name,agent_phone,furnished,completion_status,permit_number,rera_number,amenities,share_url,first_seen_at,last_seen_at,days_on_market,scraped_at
2026-09-17,new,1000212,,,Villa,Exclusive Area | Freehold | Payment Plan Available,,216000.0,,,BHD,sell,,,,,,,,Al Areen Development,,,26.003664016723633,50.517555236816406,,,,Samar Kafri,,PARTLY,off_plan_primary,,,,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-southern-governorate-zallaq-al-areen-development-1000212.html,2026-05-31T13:58:31.068517+00:00,2026-09-17T22:46:09.744238+00:00,109,2026-09-17T22:46:09.744238+00:00
2026-09-17,new,51204563,,,Apartment,3BHK | NEAR RCSI | MODERN | ELEGANT | AMENITIES,,530.0,,,BHD,monthly,,,,,,,,,,,26.27199935913086,50.60900115966797,,,,JASIM AHMED ABDULLA MOHAMED HASAN,,YES,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-muharraq-governorate-busaiteen-2PWmav4gReK.html,2026-05-31T13:58:31.068517+00:00,2026-09-17T22:46:09.744238+00:00,109,2026-09-17T22:46:09.744238+00:00
2026-09-17,new,51204580,,,Apartment,1BHK | WELL MAINTAINED | ELEGANT | NEAR KHUH,,400.0,,,BHD,monthly,,,,,,,,,,,26.27199935913086,50.60900115966797,,,,JASIM AHMED ABDULLA MOHAMED HASAN,,YES,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-muharraq-governorate-busaiteen-2PWoTQnXgDg.html,2026-06-04T09:20:16.617738+00:00,2026-09-17T22:46:09.744238+00:00,105,2026-09-17T22:46:09.744238+00:00
2026-09-17,new,51383077,,,Apartment,ELEGANT | 350BD | AMENITIES | FAMILY BUILDING,,350.0,,,BHD,monthly,,,,,,,,,,,26.211111068725586,50.601112365722656,,,,JASIM AHMED ABDULLA MOHAMED HASAN,,YES,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-al-juffair-2Pgdxmfx5Oa.html,2026-06-06T16:25:02.020756+00:00,2026-09-17T22:46:09.744238+00:00,103,2026-09-17T22:46:09.744238+00:00
2026-09-17,new,51877091,,,Villa,Single story S/F Luxury Villa |Garden |JD - 1540,,550.0,,,BHD,monthly,,,,,,,,,,,26.229394912719727,50.48070526123047,,,,Domingos Pinto,,PARTLY,,,,,https://www.propertyfinder.bh/en/plp/rent/villa-for-rent-northern-governorate-barbar-2Q9oR5HNoNk.html,2026-07-16T13:23:22.641531+00:00,2026-09-17T22:46:09.744238+00:00,63,2026-09-17T22:46:09.744238+00:00
2026-09-17,new,53008397,,,Apartment,BRIGHT | COZY | PET FRIENDLY | 1BEDROOM |AMENITIES,,400.0,,,BHD,monthly,,,,,,,,The Lagoon,,,26.287778854370117,50.66339111328125,,,,JASIM AHMED ABDULLA MOHAMED HASAN,,YES,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-muharraq-governorate-amwaj-islands-the-lagoon-53008397.html,2026-06-04T09:20:16.617738+00:00,2026-09-17T22:46:09.744238+00:00,105,2026-09-17T22:46:09.744238+00:00
2026-09-17,new,53008460,,,Apartment,2BHK SEMI FURNISHED | BALCONY | CLOSED KITCHEN,,250.0,,,BHD,monthly,,,,,,,,,,,26.21263313293457,50.67418670654297,,,,JASIM AHMED ABDULLA MOHAMED HASAN,,PARTLY,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-muharraq-governorate-hidd-53008460.html,2026-06-04T09:20:16.617738+00:00,2026-09-17T22:46:09.744238+00:00,105,2026-09-17T22:46:09.744238+00:00
2026-09-17,new,53765021,,,Apartment,BALCONY | NEAR RCSI | MODERN | SPACIOUS,,340.0,,,BHD,monthly,,,,,,,,,,,26.27199935913086,50.60900115966797,,,,JASIM AHMED ABDULLA MOHAMED HASAN,,YES,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-muharraq-governorate-busaiteen-53765021.html,2026-05-31T13:58:31.068517+00:00,2026-09-17T22:46:09.744238+00:00,109,2026-09-17T22:46:09.744238+00:00
2026-09-17,new,55084695,,,Apartment,BRAND NEW | GAS | FULLY FURNISHED| INTERNET,,300.0,,,BHD,monthly,,,,,,,,,,,26.21672821044922,50.55367660522461,,,,JASIM AHMED ABDULLA MOHAMED HASAN,,YES,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-manama-al-burhama-55084695.html,2026-07-09T21:28:23.078681+00:00,2026-09-17T22:46:09.744238+00:00,70,2026-09-17T22:46:09.744238+00:00
2026-09-17,new,55084984,,,Land,"Prime Corner Plot | Al Sidra, Diyar Al Muharraq",,105000.0,,,BHD,sell,,,,,,,,Diyar Al Muharraq,Al Sidra,,26.31142234802246,50.64306640625,,,,Sayed Ahmed AlSharaf,,,,,,,https://www.propertyfinder.bh/en/plp/buy/land-for-sale-muharraq-governorate-diyar-al-muharraq-al-sidra-55084984.html,2026-07-09T21:28:23.078681+00:00,2026-09-17T22:46:09.744238+00:00,70,2026-09-17T22:46:09.744238+00:00
