change_date,change_type,listing_id,category,listing_type,property_type,title,price_prev,price_curr,price_delta,price_delta_pct,currency,price_period,area_size,area_unit,beds_min,beds_max,baths_min,city,area,community,sub_community,compound,latitude,longitude,developer,project_name,agency_name,agent_name,agent_phone,furnished,completion_status,permit_number,rera_number,amenities,share_url,first_seen_at,last_seen_at,days_on_market,scraped_at
2026-08-20,new,1001549,,,Land,Land for sale in a prime location Hamala,,151721.0,,,BHD,sell,,,,,,,,,,,26.140336990356445,50.478271484375,,,,Deewania estate agency,,,,,,,https://www.propertyfinder.bh/en/plp/buy/land-for-sale-northern-governorate-hamala-1001549.html,2026-05-31T13:58:31.068517+00:00,2026-08-20T20:40:12.466755+00:00,81,2026-08-20T20:40:12.466755+00:00
2026-08-20,new,1001740,,,Apartment,3 BEDROOM 2 BATHROOM IN ADLIYA CALL JOY 39456091,,275.0,,,BHD,monthly,,,,,,,,,,,26.214487075805664,50.584754943847656,,,,Deewania estate agency,,NO,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-manama-adliya-1001740.html,2026-05-31T13:58:31.068517+00:00,2026-08-20T20:40:12.466755+00:00,81,2026-08-20T20:40:12.466755+00:00
2026-08-20,new,1002930,,,Apartment,Four new apartments sale Riffa,,65000.0,,,BHD,sell,,,,,,,,,,,26.1314754486084,50.568843841552734,,,,Deewania estate agency,,PARTLY,completed_primary,,,,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-southern-governorate-riffa-bu-kowarah-1002930.html,2026-05-31T13:58:31.068517+00:00,2026-08-20T20:40:12.466755+00:00,81,2026-08-20T20:40:12.466755+00:00
2026-08-20,new,51000027,,,Apartment,Luxury Apartment for Sale in Fontana Tower,,123000.0,,,BHD,sell,,,,,,,,,,,26.211111068725586,50.601112365722656,,,,Ammar Abdulaal,,YES,completed,,,,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-capital-governorate-al-juffair-2OjG9LXGOtU.html,2026-05-31T13:58:31.068517+00:00,2026-08-20T20:40:12.466755+00:00,81,2026-08-20T20:40:12.466755+00:00
2026-08-20,new,51000103,,,Villa,Villa for sale in Qalali,,135000.0,,,BHD,sell,,,,,,,,,,,26.266666412353516,50.650001525878906,,,,Ammar Abdulaal,,NO,completed_primary,,,,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-muharraq-governorate-galali-2Ok3ae1uKrA.html,2026-05-31T13:58:31.068517+00:00,2026-08-20T20:40:12.466755+00:00,81,2026-08-20T20:40:12.466755+00:00
2026-08-20,new,51000177,,,Apartment,For Sale an apartment in Bahrain Bay,,55000.0,,,BHD,sell,,,,,,,,,,,26.249584197998047,50.580360412597656,,,,Ammar Abdulaal,,YES,completed,,,,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-capital-governorate-bahrain-bay-2OjEKJEFIVk.html,2026-08-20T20:40:12.466755+00:00,2026-08-20T20:40:12.466755+00:00,0,2026-08-20T20:40:12.466755+00:00
2026-08-20,new,51000447,,,Villa,Villa for sale in Amwaj Island,,600000.0,,,BHD,sell,,,,,,,,,,,26.288480758666992,50.66381072998047,,,,Ammar Abdulaal,,PARTLY,completed_primary,,,,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-muharraq-governorate-amwaj-islands-2Ok4DQJlErw.html,2026-05-31T13:58:31.068517+00:00,2026-08-20T20:40:12.466755+00:00,81,2026-08-20T20:40:12.466755+00:00
2026-08-20,new,51000471,,,Villa,Villa for sale in Amwaj Island,,420000.0,,,BHD,sell,,,,,,,,,,,26.288480758666992,50.66381072998047,,,,Ammar Abdulaal,,NO,completed_primary,,,,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-muharraq-governorate-amwaj-islands-2Ok4tbtzI0G.html,2026-05-31T13:58:31.068517+00:00,2026-08-20T20:40:12.466755+00:00,81,2026-08-20T20:40:12.466755+00:00
2026-08-20,new,51145759,,,Office Space,Floors for Rent in Al Mahooz,,3000.0,,,BHD,monthly,,,,,,,,,,,26.207910537719727,50.587345123291016,,,,Deewania estate agency,,PARTLY,,,,,https://www.propertyfinder.bh/en/plp/commercial-rent/office-space-for-rent-capital-governorate-manama-mahooz-2PTD88zMfui.html,2026-05-31T13:58:31.068517+00:00,2026-08-20T20:40:12.466755+00:00,81,2026-08-20T20:40:12.466755+00:00
2026-08-20,new,51174994,,,Villa,for sale villa in Diyar Al muharraq,,125000.0,,,BHD,sell,,,,,,,,Diyar Al Muharraq,,,26.31142234802246,50.64306640625,,,,Deewania estate agency,,NO,completed_primary,,,,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-2PUra5hUVKC.html,2026-07-12T20:58:01.791743+00:00,2026-08-20T20:40:12.466755+00:00,38,2026-08-20T20:40:12.466755+00:00
2026-08-20,new,51203116,,,Apartment,Modern Furnished Apartment / Unlimited Ewa,,350.0,,,BHD,monthly,,,,,,,,,,,26.211111068725586,50.601112365722656,,,,A. Mhaout,,YES,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-al-juffair-2PVaiB00yA4.html,2026-08-20T20:40:12.466755+00:00,2026-08-20T20:40:12.466755+00:00,0,2026-08-20T20:40:12.466755+00:00
2026-08-20,new,51234327,,,Apartment,Spacious 3 BHK Big Flats For Rent in Sanad (Exc),,250.0,,,BHD,monthly,,,,,,,,,,,26.149999618530273,50.58333206176758,,,,salman siraj,,NO,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-central-governorate-sanad-2PYUkpwuyTA.html,2026-05-31T13:58:31.068517+00:00,2026-08-20T20:40:12.466755+00:00,81,2026-08-20T20:40:12.466755+00:00
2026-08-20,new,51262698,,,Villa,Villa for sale in North Riffa,,200000.0,,,BHD,sell,,,,,,,,North Riffa,,,26.143957138061523,50.547142028808594,,,,Ammar Abdulaal,,PARTLY,completed_primary,,,,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-southern-governorate-riffa-north-riffa-2PYtILdAGLg.html,2026-05-31T13:58:31.068517+00:00,2026-08-20T20:40:12.466755+00:00,81,2026-08-20T20:40:12.466755+00:00
2026-08-20,new,51262699,,,Land,RA Land For Sale in Al Daih,,88000.0,,,BHD,sell,,,,,,,,,,,26.225631713867188,50.535701751708984,,,,Ammar Abdulaal,,,,,,,https://www.propertyfinder.bh/en/plp/buy/land-for-sale-northern-governorate-al-daih-2PYtycdBmMK.html,2026-06-07T00:43:20.894312+00:00,2026-08-20T20:40:12.466755+00:00,74,2026-08-20T20:40:12.466755+00:00
2026-08-20,new,51262700,,,Land,RG Land For Sale in Al Qurayyah,,238000.0,,,BHD,sell,,,,,,,,,,,26.20011329650879,50.46629333496094,,,,Ammar Abdulaal,,,,,,,https://www.propertyfinder.bh/en/plp/buy/land-for-sale-northern-governorate-al-qurayyah-2PYuNmEClvs.html,2026-05-31T13:58:31.068517+00:00,2026-08-20T20:40:12.466755+00:00,81,2026-08-20T20:40:12.466755+00:00
2026-08-20,new,51262701,,,Land,RG Land For Sale in Al Qurayyah,,250230.0,,,BHD,sell,,,,,,,,,,,26.20011329650879,50.46629333496094,,,,Ammar Abdulaal,,,,,,,https://www.propertyfinder.bh/en/plp/buy/land-for-sale-northern-governorate-al-qurayyah-2PYuq0ohukq.html,2026-05-31T13:58:31.068517+00:00,2026-08-20T20:40:12.466755+00:00,81,2026-08-20T20:40:12.466755+00:00
2026-08-20,new,51322214,,,Villa,New villa for sale in Isa Town,,145000.0,,,BHD,sell,,,,,,,,,,,26.16529655456543,50.552181243896484,,,,Deewania estate agency,,NO,completed_primary,,,,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-central-governorate-isa-town-2Pcci9KAYm8.html,2026-05-31T13:58:31.068517+00:00,2026-08-20T20:40:12.466755+00:00,81,2026-08-20T20:40:12.466755+00:00
2026-08-20,new,51322269,,,Villa,For Sale Large Villa in Jurdab,,380000.0,,,BHD,sell,,,,,,,,,,,26.168216705322266,50.57180404663086,,,,Deewania estate agency,,NO,completed_primary,,,,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-central-governorate-jurdab-2PceZ7exIHI.html,2026-07-12T20:58:01.791743+00:00,2026-08-20T20:40:12.466755+00:00,38,2026-08-20T20:40:12.466755+00:00
2026-08-20,new,51352010,,,Apartment,Apartment for rent in Al-Hajiyat,,130.0,,,BHD,monthly,,,,,,,,Alhajiyat,,,26.128984451293945,50.58171463012695,,,,Deewania estate agency,,NO,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-southern-governorate-riffa-alhajiyat-2PeDshVgzeS.html,2026-05-31T13:58:31.068517+00:00,2026-08-20T20:40:12.466755+00:00,81,2026-08-20T20:40:12.466755+00:00
2026-08-20,new,51353476,,,Land,RA Land For Sale in Tubli,,123700.0,,,BHD,sell,,,,,,,,,,,26.188888549804688,50.54999923706055,,,,Ammar Abdulaal,,,,,,,https://www.propertyfinder.bh/en/plp/buy/land-for-sale-central-governorate-tubli-2PfJaCKSrBY.html,2026-05-31T13:58:31.068517+00:00,2026-08-20T20:40:12.466755+00:00,81,2026-08-20T20:40:12.466755+00:00
2026-08-20,new,51353477,,,Land,RHA Land for Sale in Al-Hamala,,51600.0,,,BHD,sell,,,,,,,,,,,26.140336990356445,50.478271484375,,,,Ammar Abdulaal,,,,,,,https://www.propertyfinder.bh/en/plp/buy/land-for-sale-northern-governorate-hamala-2PfJsjvKSDQ.html,2026-05-31T13:58:31.068517+00:00,2026-08-20T20:40:12.466755+00:00,81,2026-08-20T20:40:12.466755+00:00
