change_date,change_type,listing_id,category,listing_type,property_type,title,price_prev,price_curr,price_delta,price_delta_pct,currency,price_period,area_size,area_unit,beds_min,beds_max,baths_min,city,area,community,sub_community,compound,latitude,longitude,developer,project_name,agency_name,agent_name,agent_phone,furnished,completion_status,permit_number,rera_number,amenities,share_url,first_seen_at,last_seen_at,days_on_market,scraped_at
2026-06-17,new,1000909,,,Apartment,Spacious 3 Bedroom Flats for Rent in Jurdab,,280.0,,,BHD,monthly,,,,,,,,,,,26.168216705322266,50.57180404663086,,,,Nasser Real Estate,,NO,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-central-governorate-jurdab-1000909.html,2026-05-31T13:58:31.068517+00:00,2026-06-17T20:50:56.644034+00:00,17,2026-06-17T20:50:56.644034+00:00
2026-06-17,new,1001231,,,Apartment,Semifurnished Flat with EWA in Buhair,,300.0,,,BHD,monthly,,,,,,,,Al Bahair,,,26.149368286132812,50.56598663330078,,,,Nasser Real Estate,,PARTLY,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-southern-governorate-riffa-al-bahair-1001231.html,2026-05-31T13:58:31.068517+00:00,2026-06-17T20:50:56.644034+00:00,17,2026-06-17T20:50:56.644034+00:00
2026-06-17,new,1001294,,,Villa,Villa with pool and sea view in Tubli,,900.0,,,BHD,monthly,,,,,,,,,,,26.188888549804688,50.54999923706055,,,,Nasser Real Estate,,PARTLY,,,,,https://www.propertyfinder.bh/en/plp/rent/villa-for-rent-central-governorate-tubli-1001294.html,2026-05-31T13:58:31.068517+00:00,2026-06-17T20:50:56.644034+00:00,17,2026-06-17T20:50:56.644034+00:00
2026-06-17,new,1001605,,,Apartment,Furnished Studio | Rooftop pool | Families only,,200.0,,,BHD,monthly,,,,,,,,Exhibition Road,,,26.231962203979492,50.59507369995117,,,,Mohammed Abdullah,,YES,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-hoora-exhibition-road-1001605.html,2026-06-17T20:50:56.644034+00:00,2026-06-17T20:50:56.644034+00:00,0,2026-06-17T20:50:56.644034+00:00
2026-06-17,new,51000257,,,Land,Premium Residential Land for Sale in Quiet Area,,174376.0,,,BHD,sell,,,,,,,,,,,26.140336990356445,50.478271484375,,,,Sayed Ahmed AlSharaf,,,,,,,https://www.propertyfinder.bh/en/plp/buy/land-for-sale-northern-governorate-hamala-2OX0O8CfbnM.html,2026-05-31T13:58:31.068517+00:00,2026-06-17T20:50:56.644034+00:00,17,2026-06-17T20:50:56.644034+00:00
2026-06-17,new,51000565,,,Apartment,BUDGET FRIENDLY I 1 BEDROOM I PRIME LOCATION,,280.0,,,BHD,monthly,,,,,,,,,,,26.27199935913086,50.60900115966797,,,,Sheraz Butt,,YES,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-muharraq-governorate-busaiteen-2Oe96emFIg4.html,2026-06-17T20:50:56.644034+00:00,2026-06-17T20:50:56.644034+00:00,0,2026-06-17T20:50:56.644034+00:00
2026-06-17,new,51173872,,,Apartment,Luxury 3BHK Apartment for rent in Tubli,,385.0,,,BHD,monthly,,,,,,,,,,,26.188888549804688,50.54999923706055,,,,Nasser Real Estate,,PARTLY,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-central-governorate-tubli-2PUKSLGi3rU.html,2026-05-31T13:58:31.068517+00:00,2026-06-17T20:50:56.644034+00:00,17,2026-06-17T20:50:56.644034+00:00
2026-06-17,new,51204687,,,Apartment,2 BEDROOMS I FULLY FURNISHED I GYM I MAQABAH,,375.0,,,BHD,monthly,,,,,,,,,,,26.19164276123047,50.48757553100586,,,,SABIR,,YES,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-northern-governorate-saar-2PX3n7Pk2CG.html,2026-06-17T20:50:56.644034+00:00,2026-06-17T20:50:56.644034+00:00,0,2026-06-17T20:50:56.644034+00:00
2026-06-17,new,51222391,,,Apartment,SPECIOUS 2 BEDROOMS APARTMENT I PRIME LOCATION,,400.0,,,BHD,monthly,,,,,,,,,,,26.19164276123047,50.48757553100586,,,,SABIR,,YES,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-northern-governorate-saar-2PX4OuvRuUa.html,2026-05-31T13:58:31.068517+00:00,2026-06-17T20:50:56.644034+00:00,17,2026-06-17T20:50:56.644034+00:00
2026-06-17,new,51584357,,,Apartment,FULLY FURNISHED FLAT| ROOFTOP POOL| FAMILIES ONLY,,280.0,,,BHD,monthly,,,,,,,,Exhibition Road,,,26.231962203979492,50.59507369995117,,,,Mohammed Abdullah,,YES,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-hoora-exhibition-road-2PsA4whc52m.html,2026-05-31T13:58:31.068517+00:00,2026-06-17T20:50:56.644034+00:00,17,2026-06-17T20:50:56.644034+00:00
