change_date,change_type,listing_id,category,listing_type,property_type,title,price_prev,price_curr,price_delta,price_delta_pct,currency,price_period,area_size,area_unit,beds_min,beds_max,baths_min,city,area,community,sub_community,compound,latitude,longitude,developer,project_name,agency_name,agent_name,agent_phone,furnished,completion_status,permit_number,rera_number,amenities,share_url,first_seen_at,last_seen_at,days_on_market,scraped_at
2026-06-02,new,1001933,,,,Investment Building for Sale in Riffa,,550000.0,,,BHD,sell,,,,,,,,,,,26.128984451293945,50.58171463012695,,,,Ebrahim Alsaleem,,PARTLY,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,1001952,,,,Investment Building for Sale with Monthly Income,,600000.0,,,BHD,sell,,,,,,,,,,,26.231962203979492,50.59507369995117,,,,Ebrahim Alsaleem,,YES,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,1002480,,,,Brand new Shops for rent – On Budaiya highway,,300.0,,,BHD,monthly,,,,,,,,,,,26.22623634338379,50.49492263793945,,,,Sherad  Maas ,,NO,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,1002930,,,,Four new apartments sale Riffa,,65000.0,,,BHD,sell,,,,,,,,,,,26.1314754486084,50.568843841552734,,,,Deewania estate agency,,PARTLY,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51174715,,,,Best Location | Highway Access | Inclusive,,400.0,,,BHD,monthly,,,,,,,,,,,26.211111068725586,50.601112365722656,,,,Saeed Hamueh,,YES,,,,,,2026-06-02T17:34:08.678888+00:00,2026-06-02T17:34:08.678888+00:00,0,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51175114,,,,Luxury | Best Deal | Prime Location| Bargain Price,,46000.0,,,BHD,sell,,,,,,,,,,,26.21263313293457,50.67418670654297,,,,Samer Mohammed,,NO,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51203396,,,,Spacious Family Apartment - Unfurnished,,240.0,,,BHD,monthly,,,,,,,,,,,26.188888549804688,50.54999923706055,,,,Mona Ashkanani,,NO,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51234029,,,,Lagoon Access|Stunning View|Bright-Modern|Balcony,,525.0,,,BHD,monthly,,,,,,,,,,,26.2847957611084,50.669620513916016,,,,Hazeeth,,YES,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51262815,,,,URGENT SALE | GREAT DEAL | PRIME LOCATION,,52000.0,,,BHD,sell,,,,,,,,,,,26.21263313293457,50.67418670654297,,,,Moueen Charfi,,PARTLY,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51322315,,,,3 BED ROOM FULLY FURNISHED VILLA,,850.0,,,BHD,monthly,,,,,,,,,,,26.213165283203125,50.447471618652344,,,,Huzaifa Arif ,,YES,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51381857,,,,Office Space for Rent in (Budaiya Road),,300.0,,,BHD,monthly,,,,,,,,,,,26.213165283203125,50.447471618652344,,,,Abbas  Altaraifi,,PARTLY,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51442306,,,,"Maraya Square, Open spaces for rent, Budaiya Road",,300.0,,,BHD,monthly,,,,,,,,,,,26.22623634338379,50.49492263793945,,,,Sayed Sadeq Jaafar,,PARTLY,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51638006,,,,Sea Views 2BHK | Balcony  Pool Gym | Sauna steam,,450.0,,,BHD,monthly,,,,,,,,,,,26.288480758666992,50.66381072998047,,,,ABDUL JABBAR TAHIR,,YES,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51638906,,,,Spacious 4BHK Apartment For Sale | Car parking,,77000.0,,,BHD,sell,,,,,,,,,,,26.128984451293945,50.58171463012695,,,,Zain Jabbar,,NO,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51666002,,,,RESIDENTIAL | COMMERCIAL | AC PROVIDED,,200.0,,,BHD,monthly,,,,,,,,,,,26.266666412353516,50.650001525878906,,,,Muhammad,,PARTLY,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51692235,,,,Luxury Two Bedroom Apartment With Ewa and Internet,,380.0,,,BHD,monthly,,,,,,,,,,,26.21693992614746,50.57733154296875,,,,Abdulla Al Samahiji,,YES,,,,,,2026-06-02T17:34:08.678888+00:00,2026-06-02T17:34:08.678888+00:00,0,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51692276,,,,LUXURY FULL SEAVIEW ONE BEDROOM APARTMENT HOT DEAL,,350.0,,,BHD,monthly,,,,,,,,,,,26.24812126159668,50.57044219970703,,,,Abdulla Al Samahiji,,YES,,,,,,2026-06-02T17:34:08.678888+00:00,2026-06-02T17:34:08.678888+00:00,0,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51692289,,,,HIGH LUXURIOUS STUDIOS APARTMENTS SEAVIEW CITYVIEW,,270.0,,,BHD,monthly,,,,,,,,,,,26.24812126159668,50.57044219970703,,,,Abdulla Al Samahiji,,YES,,,,,,2026-06-02T17:34:08.678888+00:00,2026-06-02T17:34:08.678888+00:00,0,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51692679,,,,LUXURY SEAVIEW CITYVIEW TWO BALCONIES ONE BEDROOMS,,320.0,,,BHD,monthly,,,,,,,,,,,26.231962203979492,50.59507369995117,,,,Abdulla Al Samahiji,,YES,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51692701,,,,3 BEDROOM | MAID ROOM | 5 BATHROOM FLAT,,250.0,,,BHD,monthly,,,,,,,,,,,26.266666412353516,50.650001525878906,,,,Muhammad,,NO,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51718475,,,,AFFORDABLE SHOPS IN ISATOWN | PARKING AVAIBALE,,420.0,,,BHD,monthly,,,,,,,,,,,26.16529655456543,50.552181243896484,,,,Sherad  Maas ,,NO,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51745444,,,,Shop for Rent Near the Highway – Abu Quwah Area,,400.0,,,BHD,monthly,,,,,,,,,,,26.19185447692871,50.509178161621094,,,,Abbas  Altaraifi,,NO,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51773260,,,,LUXURY TWO BEDROOMS APARTMENTS SPACIOUS BEAUTIFULL,,52000.0,,,BHD,sell,,,,,,,,,,,26.21263313293457,50.67418670654297,,,,Abdulla Al Samahiji,,YES,,,,,,2026-06-02T17:34:08.678888+00:00,2026-06-02T17:34:08.678888+00:00,0,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51799752,,,,BRAND NEW BUILDING TWO BEDROOMS APARTMENT FAMILIES,,320.0,,,BHD,monthly,,,,,,,,,,,26.21672821044922,50.55367660522461,,,,Abdulla Al Samahiji,,YES,,,,,,2026-06-02T17:34:08.678888+00:00,2026-06-02T17:34:08.678888+00:00,0,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51799784,,,,BRAND NEW BUILDING TWO BEDROOMS APARTMENT FAMILIES,,320.0,,,BHD,monthly,,,,,,,,,,,26.21672821044922,50.55367660522461,,,,Abdulla Al Samahiji,,YES,,,,,,2026-06-02T17:34:08.678888+00:00,2026-06-02T17:34:08.678888+00:00,0,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51825071,,,,Office For Rent in SEEF,,400.0,,,BHD,monthly,,,,,,,,,,,26.239999771118164,50.5369987487793,,,,MOHAMED ABDULLA   HAMADA ALHAYKI,,YES,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51877984,,,,LUXURY HIGH DEMAND ONE BEDROOM APARTMENTS FAMILIES,,300.0,,,BHD,monthly,,,,,,,,,,,26.21672821044922,50.55367660522461,,,,Abdulla Al Samahiji,,YES,,,,,,2026-06-02T17:34:08.678888+00:00,2026-06-02T17:34:08.678888+00:00,0,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51877993,,,,HIGH LUXURIOUS ONE BEDROOM APARTMENT ALL NEW BUILD,,300.0,,,BHD,monthly,,,,,,,,,,,26.21672821044922,50.55367660522461,,,,Abdulla Al Samahiji,,YES,,,,,,2026-06-02T17:34:08.678888+00:00,2026-06-02T17:34:08.678888+00:00,0,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51903786,,,,Luxury One bedroom Sea view  in Seef area.,,500.0,,,BHD,monthly,,,,,,,,,,,26.239999771118164,50.5369987487793,,,,Artyom Maulenov,,YES,,,,,,2026-06-02T17:34:08.678888+00:00,2026-06-02T17:34:08.678888+00:00,0,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51904623,,,,Luxury Apartments | Premium Full-Service Building,,94000.0,,,BHD,sell,,,,,,,,,,,26.21263313293457,50.67418670654297,,,,Mohamed Alaynati,,PARTLY,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51930950,,,,Shop for Rent Near the Highway – Abu Quwah Area,,400.0,,,BHD,monthly,,,,,,,,,,,26.202558517456055,50.519554138183594,,,,MOHAMED ABDULLA   HAMADA ALHAYKI,,NO,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51931041,,,,Prime Office | Spacious | Opposite Seef Mall,,82000.0,,,BHD,sell,,,,,,,,,,,26.239999771118164,50.5369987487793,,,,Khalil Aryan,,YES,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51931088,,,,Beautifully Furniture | Spacious | office room,,420.0,,,BHD,monthly,,,,,,,,,,,26.293058395385742,50.65943908691406,,,,Hamad Buhameed,,YES,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51984744,,,,INCOME MODEL NEW BUILDING AND HIGHLY EQUIPTED MADE,,288000.0,,,BHD,sell,,,,,,,,,,,26.218677520751953,50.59382247924805,,,,Abdulla Al Samahiji,,PARTLY,,,,,,2026-06-02T17:34:08.678888+00:00,2026-06-02T17:34:08.678888+00:00,0,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,51984814,,,,LATEST HIGH DEMAND STUDIO WITHOUT DEPOSIT FREE EWA,,160.0,,,BHD,monthly,,,,,,,,,,,26.218677520751953,50.59382247924805,,,,Abdulla Al Samahiji,,YES,,,,,,2026-06-02T17:34:08.678888+00:00,2026-06-02T17:34:08.678888+00:00,0,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,52116716,,,,BRAND NEW BUILDING TWO BEDROOMS APARTMENT FAMILIES,,310.0,,,BHD,monthly,,,,,,,,,,,26.21672821044922,50.55367660522461,,,,Abdulla Al Samahiji,,YES,,,,,,2026-06-02T17:34:08.678888+00:00,2026-06-02T17:34:08.678888+00:00,0,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,52116772,,,,HUGE ONE BEDROOMS HIGH DEMAND BUIDLING AND BALCONY,,290.0,,,BHD,monthly,,,,,,,,,,,26.21672821044922,50.55367660522461,,,,Abdulla Al Samahiji,,YES,,,,,,2026-06-02T17:34:08.678888+00:00,2026-06-02T17:34:08.678888+00:00,0,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,52170050,,,,luxurious freehold 1BHK on the waterfront | Hidd,,52000.0,,,BHD,sell,,,,,,,,,,,26.21263313293457,50.67418670654297,,,,Abdulla Alkhan,,YES,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,52222976,,,,GIANT STAND ALONE | PRIVATE POOL | IDEAL LOCATION,,900.0,,,BHD,monthly,,,,,,,,,,,26.188888549804688,50.54999923706055,,,,Anza Khurram,,PARTLY,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,52274420,,,,Monthly Rental Villa Available For Long/Short Term,,1100.0,,,BHD,monthly,,,,,,,,,,,26.213165283203125,50.447471618652344,,,,Huzaifa Arif ,,YES,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,52274961,,,,Large terrace/Spacious/Ready to move in,,700.0,,,BHD,monthly,,,,,,,,,,,26.300025939941406,50.66316223144531,,,,Svetlana Resheliyan,,PARTLY,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,52275458,,,,Brand 5-bedroom Apartment For Sale In Al Bahair,,72000.0,,,BHD,sell,,,,,,,,,,,26.149368286132812,50.56598663330078,,,,Aysha Adil,,NO,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,52301726,,,,Spacious I Closed Kitchen I Quite Family Building,,300.0,,,BHD,monthly,,,,,,,,,,,26.29302978515625,50.66474151611328,,,,Abdulwahab Waheed,,NO,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,52328881,,,,HIGH DEMAND STUDIO COZY AND BEAUTIFUL GYM AND POOL,,250.0,,,BHD,monthly,,,,,,,,,,,26.21693992614746,50.57733154296875,,,,Abdulla Al Samahiji,,YES,,,,,,2026-06-02T17:34:08.678888+00:00,2026-06-02T17:34:08.678888+00:00,0,2026-06-02T17:34:08.678888+00:00
2026-06-02,new,52355197,,,,Unique 3BR/ Fully upgraded and Renovated,,850.0,,,BHD,monthly,,,,,,,,,,,26.300025939941406,50.66316223144531,,,,Svetlana Resheliyan,,YES,,,,,,2026-05-31T13:58:31.068517+00:00,2026-06-02T17:34:08.678888+00:00,2,2026-06-02T17:34:08.678888+00:00
