change_date,change_type,listing_id,category,listing_type,property_type,title,price_prev,price_curr,price_delta,price_delta_pct,currency,price_period,area_size,area_unit,beds_min,beds_max,baths_min,city,area,community,sub_community,compound,latitude,longitude,developer,project_name,agency_name,agent_name,agent_phone,furnished,completion_status,permit_number,rera_number,amenities,share_url,first_seen_at,last_seen_at,days_on_market,scraped_at
2026-09-08,new,51353407,,,Apartment,LUXURY APARTMENT | SWIMMING POOL | NAVY APPROVED,,550.0,,,BHD,monthly,,,,,,,,,,,26.140336990356445,50.478271484375,,,,Ebrahim Alsaleem,,YES,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-northern-governorate-hamala-2PfE7NwABRQ.html,2026-05-31T13:58:31.068517+00:00,2026-09-08T22:32:55.995771+00:00,100,2026-09-08T22:32:55.995771+00:00
2026-09-08,new,51412391,,,Apartment,Luxury Apartment | Prime Location | Modern Tower,,58000.0,,,BHD,sell,,,,,,,,The Lagoon,,,26.287778854370117,50.66339111328125,,,,Ebrahim Alsaleem,,YES,completed,,,,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-the-lagoon-2Pho8mfjFho.html,2026-05-31T13:58:31.068517+00:00,2026-09-08T22:32:55.995771+00:00,100,2026-09-08T22:32:55.995771+00:00
2026-09-08,new,52142594,,,Apartment,Marina View Fully Furnished Promenade By The sea,,1050.0,,,BHD,monthly,,,,,,,,,,,26.241750717163086,50.5663948059082,,,,Rawda Kahlaoui,,YES,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-reef-island-52142594.html,2026-05-31T13:58:31.068517+00:00,2026-09-08T22:32:55.995771+00:00,100,2026-09-08T22:32:55.995771+00:00
2026-09-08,new,52327999,,,Apartment,Lovely studio apartment for rent in Bahrain Bay!,,350.0,,,BHD,monthly,,,,,,,,,,,26.249584197998047,50.580360412597656,,,,Dafina Muca,,YES,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-bahrain-bay-52327999.html,2026-09-08T22:32:55.995771+00:00,2026-09-08T22:32:55.995771+00:00,0,2026-09-08T22:32:55.995771+00:00
2026-09-08,new,52805196,,,Apartment,Prime Location - Sea View - Top Quality,,540.0,,,BHD,monthly,,,,,,,,Manama Sea Front,,,26.24812126159668,50.57044219970703,,,,Ebrahim Alsaleem,,YES,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-manama-manama-sea-front-52805196.html,2026-05-31T13:58:31.068517+00:00,2026-09-08T22:32:55.995771+00:00,100,2026-09-08T22:32:55.995771+00:00
2026-09-08,new,52931958,,,Villa,Luxury Villa | Shared Pool | Prime Location |,,1200.0,,,BHD,monthly,,,,,,,,,,,26.22623634338379,50.49492263793945,,,,Ebrahim Alsaleem,,PARTLY,,,,,https://www.propertyfinder.bh/en/plp/rent/villa-for-rent-northern-governorate-jannusan-52931958.html,2026-05-31T13:58:31.068517+00:00,2026-09-08T22:32:55.995771+00:00,100,2026-09-08T22:32:55.995771+00:00
2026-09-08,new,52931967,,,Villa,Luxury Villa | Prime Location | Maid’s Room,,145000.0,,,BHD,sell,,,,,,,,,,,26.185943603515625,50.46711349487305,,,,Ebrahim Alsaleem,,YES,completed_primary,,,,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-northern-governorate-janabiya-52931967.html,2026-05-31T13:58:31.068517+00:00,2026-09-08T22:32:55.995771+00:00,100,2026-09-08T22:32:55.995771+00:00
2026-09-08,new,53059949,,,Apartment,Modern 2BR Furnished Apartment | Prime Location,,350.0,,,BHD,monthly,,,,,,,,Amwaj Marina,,,26.293058395385742,50.65943908691406,,,,Faten Seyeh,,YES,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-muharraq-governorate-amwaj-islands-amwaj-marina-53059949.html,2026-05-31T13:58:31.068517+00:00,2026-09-08T22:32:55.995771+00:00,100,2026-09-08T22:32:55.995771+00:00
2026-09-08,new,53085326,,,Apartment,Modern 2BR Furnished Apartment | Prime Location,,350.0,,,BHD,monthly,,,,,,,,Amwaj Marina,,,26.293058395385742,50.65943908691406,,,,Faten Seyeh,,YES,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-muharraq-governorate-amwaj-islands-amwaj-marina-53085326.html,2026-06-08T09:36:29.074314+00:00,2026-09-08T22:32:55.995771+00:00,92,2026-09-08T22:32:55.995771+00:00
2026-09-08,new,53085456,,,Apartment,Special Offer I Spacious I Modern I Balcony|,,300.0,,,BHD,monthly,,,,,,,,Amwaj Avenue,,,26.29302978515625,50.66474151611328,,,,Faten Seyeh,,YES,,,,,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-muharraq-governorate-amwaj-islands-amwaj-avenue-53085456.html,2026-09-08T22:32:55.995771+00:00,2026-09-08T22:32:55.995771+00:00,0,2026-09-08T22:32:55.995771+00:00
