change_date,change_type,listing_id,category,listing_type,property_type,title,price_prev,price_curr,price_delta,price_delta_pct,currency,price_period,area_size,area_unit,beds_min,beds_max,baths_min,city,area,community,sub_community,compound,latitude,longitude,developer,project_name,agency_name,agent_name,agent_phone,furnished,completion_status,permit_number,rera_number,amenities,share_url,first_seen_at,last_seen_at,days_on_market,scraped_at
2026-09-19,new,1001193,,,Apartment,Don't miss this opportunity: a luxury apartment,,100000.0,,,BHD,sell,,,,,,,,,,,26.23795509338379,50.45539855957031,,,,Sajjad ALBasri,,YES,completed_primary,,,,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-northern-governorate-northern-city-madinat-salman-1001193.html,2026-06-28T20:33:34.411222+00:00,2026-09-19T22:16:49.045904+00:00,83,2026-09-19T22:16:49.045904+00:00
2026-09-19,new,1001198,,,Villa,A unique villa you shouldn't miss,,130000.0,,,BHD,sell,,,,,,,,,,,26.22623634338379,50.49492263793945,,,,Sajjad ALBasri,,PARTLY,completed_primary,,,,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-northern-governorate-jannusan-1001198.html,2026-05-31T13:58:31.068517+00:00,2026-09-19T22:16:49.045904+00:00,111,2026-09-19T22:16:49.045904+00:00
2026-09-19,new,1003162,,,Villa,A very luxurious villa ready for occupancy,,143000.0,,,BHD,sell,,,,,,,,,,,26.22623634338379,50.49492263793945,,,,Sajjad ALBasri,,NO,completed,,,,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-northern-governorate-jannusan-1003162.html,2026-05-31T13:58:31.068517+00:00,2026-09-19T22:16:49.045904+00:00,111,2026-09-19T22:16:49.045904+00:00
2026-09-19,new,51826179,,,Villa,Don't miss this opportunity! A distinctive villa,,135000.0,,,BHD,sell,,,,,,,,,,,26.100860595703125,50.48801040649414,,,,Sajjad ALBasri,,NO,completed_primary,,,,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-northern-governorate-malkiyah-2Q6ut2YNmM4.html,2026-06-28T20:33:34.411222+00:00,2026-09-19T22:16:49.045904+00:00,83,2026-09-19T22:16:49.045904+00:00
2026-09-19,new,51904423,,,Villa,Don't miss it! A luxurious villa,,155000.0,,,BHD,sell,,,,,,,,,,,26.234378814697266,50.50168228149414,,,,Sajjad ALBasri,,NO,completed_primary,,,,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-northern-governorate-jid-al-haj-2QBnM9jrnc0.html,2026-06-28T20:33:34.411222+00:00,2026-09-19T22:16:49.045904+00:00,83,2026-09-19T22:16:49.045904+00:00
2026-09-19,new,52090244,,,Whole Building,A distinctive investment building suitable for inv,,240000.0,,,BHD,sell,,,,,,,,,,,26.14974594116211,50.50010299682617,,,,Sajjad ALBasri,,NO,completed,,,,https://www.propertyfinder.bh/en/plp/commercial-buy/whole-building-for-sale-northern-governorate-buri-52090244.html,2026-05-31T13:58:31.068517+00:00,2026-09-19T22:16:49.045904+00:00,111,2026-09-19T22:16:49.045904+00:00
2026-09-19,new,52090413,,,Villa,A fantastic villa opportunity you shouldn't miss,,130000.0,,,BHD,sell,,,,,,,,,,,26.22623634338379,50.49492263793945,,,,Sajjad ALBasri,,PARTLY,completed_primary,,,,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-northern-governorate-jannusan-52090413.html,2026-05-31T13:58:31.068517+00:00,2026-09-19T22:16:49.045904+00:00,111,2026-09-19T22:16:49.045904+00:00
2026-09-19,new,52142822,,,Apartment,great opportunity luxury apartment Durrat marina,,52000.0,,,BHD,sell,,,,,,,,Durrat Marina,,,25.860807418823242,50.604957580566406,,,,Sajjad ALBasri,,YES,completed,,,,https://www.propertyfinder.bh/en/plp/buy/apartment-for-sale-southern-governorate-durrat-al-bahrain-durrat-marina-52142822.html,2026-06-28T20:33:34.411222+00:00,2026-09-19T22:16:49.045904+00:00,83,2026-09-19T22:16:49.045904+00:00
2026-09-19,new,52196528,,,Villa,Luxury villa for sale near the sea,,195000.0,,,BHD,sell,,,,,,,,,,,26.23052978515625,50.5108757019043,,,,Sajjad ALBasri,,NO,completed,,,,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-northern-governorate-karrana-52196528.html,2026-05-31T13:58:31.068517+00:00,2026-09-19T22:16:49.045904+00:00,111,2026-09-19T22:16:49.045904+00:00
2026-09-19,new,52249397,,,Villa,A distinctive villa suitable for average families,,123000.0,,,BHD,sell,,,,,,,,,,,26.234378814697266,50.50168228149414,,,,Sajjad ALBasri,,NO,completed_primary,,,,https://www.propertyfinder.bh/en/plp/buy/villa-for-sale-northern-governorate-jid-al-haj-52249397.html,2026-05-31T13:58:31.068517+00:00,2026-09-19T22:16:49.045904+00:00,111,2026-09-19T22:16:49.045904+00:00
